Diseases,Counts
"Joint Deformities, Acquired",3295
Exotropia,3287
Synovial Cyst,3285
Ganglioneuroma,3278
Werner Syndrome,3271
Oligohydramnios,3265
Egg Hypersensitivity,3259
"Nose Deformities, Acquired",3254
Priapism,3254
Hyperoxaluria,3254
"Anus, Imperforate",3251
Monoclonal Gammopathy of Undetermined Significance,3250
Hepatitis D,3240
Anti-Glomerular Basement Membrane Disease,3239
Blastomycosis,3230
Churg-Strauss Syndrome,3230
"Dermatitis, Exfoliative",3220
Hemarthrosis,3219
Gingival Hemorrhage,3216
"Hematoma, Subdural, Acute",3211
"Optic Neuropathy, Ischemic",3206
Arrhythmogenic Right Ventricular Dysplasia,3206
"Carcinoma, Giant Cell",3202
HELLP Syndrome,3202
Nocturnal Enuresis,3197
Breast Cancer Lymphedema,3196
"Syncope, Vasovagal",3194
Choledochal Cyst,3181
Friedreich Ataxia,3181
"Pancreatitis, Alcoholic",3177
Hypertelorism,3176
Immunoglobulin Light-chain Amyloidosis,3162
Bile Reflux,3156
Arthrogryposis,3152
Tympanic Membrane Perforation,3145
Rhabdoid Tumor,3143
Laryngostenosis,3142
Flatfoot,3139
Spermatic Cord Torsion,3137
Brain Contusion,3135
Peanut Hypersensitivity,3135
Flatulence,3135
"Leukemia, Myelomonocytic, Chronic",3130
Osteophyte,3129
"Rhabdomyosarcoma, Embryonal",3128
Hypertensive Encephalopathy,3125
Thoracic Outlet Syndrome,3125
Classical Swine Fever,3122
"Scleroderma, Limited",3116
Mutism,3115
Scarlet Fever,3109
Achondroplasia,3095
Distemper,3082
"Lymphangioma, Cystic",3080
"Hand Deformities, Acquired",3079
Cocarcinogenesis,3075
Marek Disease,3073
Mixed Connective Tissue Disease,3067
Non-ST Elevated Myocardial Infarction,3065
Kwashiorkor,3065
"Tooth, Supernumerary",3064
Mydriasis,3064
Renal Colic,3064
Mycotoxicosis,3063
Chagas Cardiomyopathy,3061
"Dwarfism, Pituitary",3057
Mastoiditis,3056
Inappropriate ADH Syndrome,3055
Cytomegalovirus Retinitis,3051
Leigh Disease,3051
"Abortion, Threatened",3048
Toxocariasis,3047
Whipple Disease,3046
Psittacosis,3045
Hepatorenal Syndrome,3044
Abruptio Placentae,3041
Discitis,3037
Brenner Tumor,3037
Acute Radiation Syndrome,3036
Yin Deficiency,3034
"Elephantiasis, Filarial",3032
Latex Hypersensitivity,3030
Decapitation,3030
Vesicovaginal Fistula,3026
"Adenoma, Liver Cell",3021
"Osteoarthritis, Spine",3019
Endomyocardial Fibrosis,3018
Fibromuscular Dysplasia,3011
Gas Gangrene,3005
"Red-Cell Aplasia, Pure",3000
Dupuytren Contracture,2999
"Rickets, Hypophosphatemic",2997
Bladder Exstrophy,2991
"Spherocytosis, Hereditary",2980
"Leukomalacia, Periventricular",2975
Leukemic Infiltration,2974
Hyphema,2974
Azotemia,2972
Anaplasmosis,2971
Amyloid Neuropathies,2960
Phantom Limb,2939
Polyradiculopathy,2937
Mitochondrial Encephalomyopathies,2934
Scurvy,2934
"Cystadenoma, Mucinous",2925
Monkeypox,2918
"Pregnancy, Interstitial",2915
Overbite,2910
Tooth Avulsion,2898
Funnel Chest,2897
"Adenoma, Sweat Gland",2896
Neuroleptic Malignant Syndrome,2895
Retinal Drusen,2891
"Carcinoma 256, Walker",2887
Job Syndrome,2886
Sezary Syndrome,2884
"Endocarditis, Subacute Bacterial",2883
"Adenoma, Bile Duct",2881
"Nephrosis, Lipoid",2880
Erysipelas,2876
"Endocarditis, Non-Infective",2870
Weil Disease,2866
REM Sleep Behavior Disorder,2860
"Arthritis, Gouty",2858
Tick Bites,2858
Scrub Typhus,2856
Dirofilariasis,2853
Central Cord Syndrome,2853
"Neuralgia, Postherpetic",2853
Uterine Cervicitis,2852
Galactorrhea,2847
Multiple Endocrine Neoplasia Type 1,2845
Osteoradionecrosis,2844
African Swine Fever,2843
Central Serous Chorioretinopathy,2839
Acrodermatitis,2838
Salpingitis,2837
Hypocapnia,2837
Subacute Sclerosing Panencephalitis,2829
"Optic Atrophies, Hereditary",2825
"Hematoma, Epidural, Spinal",2824
Tinea Capitis,2813
Frostbite,2812
Corneal Endothelial Cell Loss,2811
Mycetoma,2800
"Aspergillosis, Allergic Bronchopulmonary",2795
Focal Nodular Hyperplasia,2791
"Tuberculosis, Female Genital",2789
Gastroschisis,2787
Radiodermatitis,2778
Familial Primary Pulmonary Hypertension,2774
Ulnar Neuropathies,2772
Bowen's Disease,2769
Osteochondritis Dissecans,2761
Fetal Resorption,2761
Schistosomiasis japonica,2760
Sertoli Cell Tumor,2760
"Vasculitis, Leukocytoclastic, Cutaneous",2758
Bezoars,2756
Extensively Drug-Resistant Tuberculosis,2754
Dental Enamel Hypoplasia,2754
"Mastocytosis, Systemic",2753
Noonan Syndrome,2752
Retinal Vasculitis,2752
Hypertrichosis,2751
"Aortic Stenosis, Supravalvular",2750
"Hyperbilirubinemia, Hereditary",2750
"Keratitis, Dendritic",2749
Gangliosidoses,2748
Smear Layer,2743
Horner Syndrome,2743
Vascular Headaches,2742
Peritoneal Fibrosis,2741
CREST Syndrome,2740
"Adenocarcinoma, Bronchiolo-Alveolar",2732
Serum Sickness,2730
Spotted Fever Group Rickettsiosis,2729
"Carcinoma, Acinar Cell",2727
Laryngeal Edema,2711
Vitamin K Deficiency,2710
"Subarachnoid Hemorrhage, Traumatic",2700
Androgen-Insensitivity Syndrome,2697
Prostatic Intraepithelial Neoplasia,2695
"Encephalomyelitis, Equine",2690
Benign Paroxysmal Positional Vertigo,2688
Phyllodes Tumor,2687
"Cystadenocarcinoma, Mucinous",2681
Channelopathies,2680
Peutz-Jeghers Syndrome,2679
Shoulder Impingement Syndrome,2677
Muscle Cramp,2676
Cat-Scratch Disease,2669
"Toxoplasmosis, Ocular",2660
Acanthosis Nigricans,2657
Hemangioblastoma,2651
Teratocarcinoma,2650
"Focal Infection, Dental",2647
Afibrinogenemia,2641
Steatorrhea,2639
Myositis Ossificans,2638
Cadmium Poisoning,2630
Adrenoleukodystrophy,2628
Patellar Dislocation,2627
Chondrocalcinosis,2618
Sweet Syndrome,2617
Mandibulofacial Dysostosis,2616
"Brucellosis, Bovine",2615
Intra-Abdominal Hypertension,2608
Nephrosclerosis,2597
Duodenitis,2596
Microphthalmos,2593
"Amyloid Neuropathies, Familial",2586
Catastrophic Illness,2581
Schistosomiasis haematobia,2579
Pyuria,2574
"Adenoma, Villous",2574
"Spastic Paraplegia, Hereditary",2572
"Tooth, Unerupted",2570
Exfoliation Syndrome,2570
Presbyopia,2568
Uniparental Disomy,2564
Night Blindness,2563
"Alkalosis, Respiratory",2561
Gingival Hyperplasia,2554
Sacroiliitis,2551
Femoracetabular Impingement,2549
Carotid Body Tumor,2547
"Tooth, Nonvital",2546
Relapsing Fever,2544
"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating",2544
Central Nervous System Helminthiasis,2543
Dumping Syndrome,2539
Elbow Tendinopathy,2537
Trichuriasis,2536
"Substance Abuse, Oral",2536
"Colitis, Microscopic",2532
Squamous Intraepithelial Lesions of the Cervix,2530
Tennis Elbow,2530
"Hernia, Femoral",2526
Malignant Carcinoid Syndrome,2525
Insulin Coma,2525
"Nondisjunction, Genetic",2524
Travel-Related Illness,2517
Siderosis,2514
Hemifacial Spasm,2513
"Paraparesis, Tropical Spastic",2510
Masked Hypertension,2509
"Embolism, Paradoxical",2508
"Cardiomyopathy, Restrictive",2507
Frontal Sinusitis,2500
"Fibromatosis, Aggressive",2500
Ectropion,2500
"Epiphyses, Slipped",2498
Ectromelia,2497
"Colitis, Ischemic",2493
Retrognathia,2492
Paracoccidioidomycosis,2491
"Infarction, Anterior Cerebral Artery",2482
Carotid-Cavernous Sinus Fistula,2479
Keratoacanthoma,2474
Teratogenesis,2471
Dental Pulp Exposure,2469
"Menopause, Premature",2469
"Dentin, Secondary",2467
Pleuropneumonia,2466
Uterine Perforation,2466
Sporotrichosis,2463
Scleritis,2461
"Heart Rupture, Post-Infarction",2458
Spina Bifida Occulta,2456
Velopharyngeal Insufficiency,2455
Inferior Wall Myocardial Infarction,2454
Homocystinuria,2447
Testicular Hydrocele,2443
Dermatofibrosarcoma,2440
Leg Dermatoses,2435
"Adenoma, Oxyphilic",2432
Dacryocystitis,2430
Progeria,2428
"Leukemia, Feline",2426
"Muscular Dystrophies, Limb-Girdle",2426
"Anemia, Sideroblastic",2426
"Nephritis, Hereditary",2420
Stomach Rupture,2419
Pilonidal Sinus,2418
Renal Aminoacidurias,2417
Lupus Vulgaris,2408
"Toxoplasmosis, Cerebral",2405
"Typhus, Epidemic Louse-Borne",2403
Zygomatic Fractures,2402
"Psychoses, Alcoholic",2396
Adenofibroma,2393
Penile Induration,2393
Theileriasis,2391
Hydrothorax,2383
Diffuse Cerebral Sclerosis of Schilder,2383
Blepharospasm,2383
Retrograde Degeneration,2381
"Sarcoma, Yoshida",2380
Cauda Equina Syndrome,2380
"Mastocytosis, Cutaneous",2379
Chemotherapy-Induced Febrile Neutropenia,2378
Tooth Migration,2377
"Placenta, Retained",2376
"Angina Pectoris, Variant",2376
Neuronal Ceroid-Lipofuscinoses,2373
"Tuberculosis, Hepatic",2370
Microscopic Polyangiitis,2366
Rift Valley Fever,2363
"Granuloma, Pyogenic",2358
Protein-Losing Enteropathies,2355
"Infarction, Posterior Cerebral Artery",2354
"Porphyria, Acute Intermittent",2352
Dentigerous Cyst,2351
Fetofetal Transfusion,2349
Fissure in Ano,2348
Pulmonary Alveolar Proteinosis,2345
"Hypophosphatemia, Familial",2343
"Sarcoma, Clear Cell",2341
Exsanguination,2341
Galactosemias,2340
"Tuberculosis, Ocular",2339
Double Outlet Right Ventricle,2338
"Carcinoma, Verrucous",2337
Ovarian Torsion,2335
CHARGE Syndrome,2333
"Epilepsy, Reflex",2332
Mast-Cell Sarcoma,2331
Legg-Calve-Perthes Disease,2331
Rectovaginal Fistula,2331
Cheilitis,2330
Alcohol Withdrawal Delirium,2328
Hypolipoproteinemias,2328
Ebstein Anomaly,2327
Prehypertension,2326
"Blindness, Cortical",2323
Myoglobinuria,2319
Immunoglobulin G4-Related Disease,2319
Holoprosencephaly,2318
Blepharitis,2318
Angiofibroma,2317
Bovine Virus Diarrhea-Mucosal Disease,2309
Capsule Opacification,2306
Vitamin B 6 Deficiency,2306
Riboflavin Deficiency,2305
Atrial Premature Complexes,2304
Morning Sickness,2303
Bronchopulmonary Sequestration,2300
"Nails, Malformed",2299
Mesonephroma,2292
Arachnoiditis,2290
Mucoepidermoid Tumor,2289
REM Sleep Parasomnias,2288
"Glaucoma, Neovascular",2287
Porphyria Cutanea Tarda,2286
"Bone Cysts, Aneurysmal",2285
Pneumocephalus,2283
Hyperemesis Gravidarum,2281
Corneal Perforation,2280
Ossification of Posterior Longitudinal Ligament,2276
Tricuspid Atresia,2275
"Twins, Conjoined",2271
Hereditary Sensory and Autonomic Neuropathies,2267
"Leprosy, Tuberculoid",2263
Leiomyomatosis,2263
Limbic Encephalitis,2262
Angiodysplasia,2261
Lens Subluxation,2257
Halitosis,2257
Splenic Infarction,2250
Cataplexy,2244
Oxyuriasis,2242
White Coat Hypertension,2240
"Nystagmus, Congenital",2236
Glycogen Storage Disease Type II,2235
Wernicke Encephalopathy,2235
"Still's Disease, Adult-Onset",2234
Growth Hormone-Secreting Pituitary Adenoma,2233
Metatarsal Valgus,2231
Geographic Atrophy,2231
Thymus Hyperplasia,2231
Tetraploidy,2230
"Dental Occlusion, Traumatic",2228
Impetigo,2226
"Encephalitis, California",2219
Bisphosphonate-Associated Osteonecrosis of the Jaw,2218
Gigantism,2217
Subclavian Steal Syndrome,2213
Molluscum Contagiosum,2202
Fasciculation,2201
"Cystadenoma, Serous",2199
Osteochondromatosis,2198
Nut and Peanut Hypersensitivity,2198
Anisometropia,2193
Immune Reconstitution Inflammatory Syndrome,2192
Intraoperative Awareness,2189
Presbycusis,2188
"Leprosy, Paucibacillary",2184
"Paget Disease, Extramammary",2183
"Rhabdomyosarcoma, Alveolar",2181
Microsporidiosis,2178
Periapical Abscess,2174
Antithrombin III Deficiency,2174
"Myositis, Inclusion Body",2172
Croup,2165
Darier Disease,2164
Acanthamoeba Keratitis,2162
Premature Ejaculation,2156
Prurigo,2155
Protein C Deficiency,2151
"Melanoma, Amelanotic",2149
Tibial Neuropathy,2144
"Ichthyosiform Erythroderma, Congenital",2137
Larva Migrans,2136
Neurofibromatosis 2,2136
Mesenchymoma,2131
"Candidiasis, Cutaneous",2127
Endocardial Fibroelastosis,2126
Gardner Syndrome,2124
Orbital Cellulitis,2122
"Hamartoma Syndrome, Multiple",2121
Neonatal Abstinence Syndrome,2121
Pseudoxanthoma Elasticum,2120
Dental Fistula,2118
"Peritonitis, Tuberculous",2112
"Meningitis, Escherichia coli",2109
Vocal Cord Dysfunction,2109
"Epilepsy, Post-Traumatic",2109
Duodenogastric Reflux,2108
Angelman Syndrome,2104
Diffuse Axonal Injury,2101
Bronchogenic Cyst,2100
Pituitary ACTH Hypersecretion,2096
Fused Kidney,2096
Post-Concussion Syndrome,2093
Choroid Hemorrhage,2092
"Hernia, Diaphragmatic, Traumatic",2092
Ventricular Septal Rupture,2091
Univentricular Heart,2089
Basal Ganglia Hemorrhage,2086
Mushroom Poisoning,2083
Idiopathic Interstitial Pneumonias,2081
Heat Exhaustion,2081
Pseudopseudohypoparathyroidism,2071
"ACTH Syndrome, Ectopic",2067
Mastocytoma,2063
Lymphogranuloma Venereum,2062
Pseudohypoparathyroidism,2062
Salivary Calculi,2058
Hepatic Veno-Occlusive Disease,2056
Posterior Leukoencephalopathy Syndrome,2056
"Akathisia, Drug-Induced",2048
Tumor Lysis Syndrome,2048
"Adenoma, Chromophobe",2041
Bloom Syndrome,2041
"Abortion, Missed",2040
Lymphangioleiomyomatosis,2039
"Conjunctivitis, Viral",2038
Factor VII Deficiency,2037
Atypical Hemolytic Uremic Syndrome,2031
Pinealoma,2030
Entamoebiasis,2027
"Aphasia, Primary Progressive",2026
Iritis,2024
Ganglion Cysts,2022
Kidney Cortex Necrosis,2021
Tinea Pedis,2019
"Lymphoma, Primary Effusion",2019
Ethmoid Sinusitis,2015
Microvascular Angina,2015
"Osteoarthropathy, Secondary Hypertrophic",2009
"Leukemia, Mast-Cell",2006
Tracheitis,2002
"Fractures, Malunited",2001
Bell Palsy,1998
Emaciation,1995
Shellfish Poisoning,1995
Status Asthmaticus,1994
Stupor,1994
Laryngopharyngeal Reflux,1991
Bartter Syndrome,1985
"Cystadenocarcinoma, Papillary",1972
"Papilloma, Inverted",1972
Keratoconjunctivitis Sicca,1966
"Sinus Arrest, Cardiac",1964
Radicular Cyst,1963
Mucopolysaccharidosis I,1963
"Aphakia, Postcataract",1962
Furunculosis,1961
Hepatic Infarction,1960
Periodontal Cyst,1958
"Histiocytosis, Sinus",1958
"Hemangioma, Cavernous, Central Nervous System",1956
Pneumatosis Cystoides Intestinalis,1953
"Lymphoma, Extranodal NK-T-Cell",1948
"Pneumonia, Necrotizing",1942
Diastema,1937
"Nevus, Blue",1935
Sinoatrial Block,1934
"Stenosis, Pulmonary Vein",1933
"Pneumonia, Lipid",1929
Tay-Sachs Disease,1929
"Fibroma, Ossifying",1928
Chylous Ascites,1924
Superior Mesenteric Artery Syndrome,1923
MELAS Syndrome,1914
Chromosome Fragility,1911
"Hemorrhagic Fever, Crimean",1905
Pseudomyxoma Peritonei,1905
Cystinuria,1904
Anti-N-Methyl-D-Aspartate Receptor Encephalitis,1900
Opisthorchiasis,1899
"Abortion, Incomplete",1898
"Keratosis, Seborrheic",1895
"Fasciitis, Plantar",1893
"Gangliosidoses, GM2",1885
"Arthropathy, Neurogenic",1883
Kernicterus,1881
Aniridia,1880
Lymphocele,1878
MPTP Poisoning,1876
"Amnesia, Retrograde",1874
Sialorrhea,1869
Breakthrough Pain,1869
Adenolymphoma,1867
Protein S Deficiency,1864
Meconium Aspiration Syndrome,1862
"Aphasia, Broca",1861
"Pyloric Stenosis, Hypertrophic",1858
Smoke Inhalation Injury,1858
Beckwith-Wiedemann Syndrome,1854
"Polychondritis, Relapsing",1853
Achlorhydria,1853
"Fibrous Dysplasia, Polyostotic",1852
"Myopia, Degenerative",1852
Psoas Abscess,1850
Basal Cell Nevus Syndrome,1850
Andersen Syndrome,1850
Neoplasm Micrometastasis,1847
Dysgeusia,1846
Sturge-Weber Syndrome,1845
Multiple Endocrine Neoplasia Type 2a,1845
"Leishmaniasis, Mucocutaneous",1843
Pouchitis,1839
Lissencephaly,1837
"Adenocarcinoma, Scirrhous",1836
Pierre Robin Syndrome,1833
Ancylostomiasis,1831
Brachial Plexus Neuritis,1827
Pseudolymphoma,1822
Reye Syndrome,1821
Enophthalmos,1821
"Albinism, Oculocutaneous",1820
Stomach Volvulus,1818
"Tachycardia, Ectopic Atrial",1816
Pick Disease of the Brain,1813
Retinoschisis,1813
Breast Cyst,1812
Neurodermatitis,1810
Osteitis Fibrosa Cystica,1809
Hemobilia,1808
"Hemangioendothelioma, Epithelioid",1804
Fuchs' Endothelial Dystrophy,1801
Xerophthalmia,1800
Kuru,1799
Salivary Gland Calculi,1798
Brain Stem Infarctions,1797
Herpes Zoster Ophthalmicus,1792
Oligomenorrhea,1792
Persistent Left Superior Vena Cava,1791
Iridocyclitis,1789
Oral Submucous Fibrosis,1786
Rocky Mountain Spotted Fever,1785
"Abortion, Septic",1783
"Liver Abscess, Pyogenic",1774
"Myoclonic Epilepsies, Progressive",1774
"Rubella Syndrome, Congenital",1773
"Diabetes Insipidus, Nephrogenic",1767
Shoulder Dystocia,1760
Wheat Hypersensitivity,1760
Adams-Stokes Syndrome,1758
Endarteritis,1758
Compassion Fatigue,1757
Calciphylaxis,1756
"Cystadenoma, Papillary",1748
Gastrinoma,1748
Aortopulmonary Septal Defect,1745
No-Reflow Phenomenon,1740
"Cardiomyopathy, Hypertrophic, Familial",1734
Opiate Overdose,1731
Giant Cell Tumor of Tendon Sheath,1728
"Dementia, Multi-Infarct",1728
Patellofemoral Pain Syndrome,1727
"Hyperoxaluria, Primary",1726
"Liposarcoma, Myxoid",1725
Paronychia,1723
Endodermal Sinus Tumor,1723
Rhabdomyoma,1719
"Leukodystrophy, Metachromatic",1719
Granuloma Annulare,1719
ACTH-Secreting Pituitary Adenoma,1717
Spinal Muscular Atrophies of Childhood,1717
Epiglottitis,1715
"Asthma, Aspirin-Induced",1715
"Tooth Eruption, Ectopic",1711
"Glycosuria, Renal",1709
Acrocephalosyndactylia,1708
Uterine Cervical Incompetence,1708
Lichen Sclerosus et Atrophicus,1706
Hyperesthesia,1705
Peroneal Neuropathies,1703
"Stomatitis, Denture",1701
"Embolism, Cholesterol",1697
Triploidy,1696
Arterio-Arterial Fistula,1694
Small Fiber Neuropathy,1693
Ureterocele,1692
Cystinosis,1692
Thyroglossal Cyst,1690
Micrognathism,1688
Lennox Gastaut Syndrome,1688
Athetosis,1684
Activated Protein C Resistance,1681
Phimosis,1676
Periarthritis,1675
Pellagra,1674
Sarcocystosis,1673
Aberrant Crypt Foci,1673
"Rhinitis, Atrophic",1673
"Thyroiditis, Subacute",1670
Mucopolysaccharidosis II,1667
Histiocytic Sarcoma,1666
Aortic Valve Prolapse,1659
Pituitary Apoplexy,1655
"Anemia, Refractory, with Excess of Blasts",1655
Lymphangiomyoma,1654
Optic Nerve Glioma,1654
"Synovitis, Pigmented Villonodular",1650
Haemonchiasis,1645
Urticaria Pigmentosa,1644
Acantholysis,1643
Crush Syndrome,1638
Manganese Poisoning,1633
"Muscular Dystrophy, Facioscapulohumeral",1630
"Myopathies, Structural, Congenital",1629
CADASIL,1626
Severe Fever with Thrombocytopenia Syndrome,1618
Macroglossia,1617
"Sarcoma, Endometrial Stromal",1616
"Exostoses, Multiple Hereditary",1612
Serositis,1611
Port-Wine Stain,1608
Ganglioglioma,1607
"Paralyses, Familial Periodic",1607
Li-Fraumeni Syndrome,1603
Kartagener Syndrome,1602
Acalculous Cholecystitis,1601
"Syphilis, Cutaneous",1600
Leukoaraiosis,1598
Thrombasthenia,1592
Chediak-Higashi Syndrome,1589
"Meningitis, Listeria",1584
Body-Weight Trajectory,1584
Lymphangitis,1582
Arthus Reaction,1582
Nasopharyngitis,1577
Rectocele,1575
"Ophthalmoplegia, Chronic Progressive External",1573
Fraser Syndrome,1569
Immunoblastic Lymphadenopathy,1569
Anaplasia,1568
Lyme Neuroborreliosis,1567
Hypophysitis,1567
"Leprosy, Borderline",1563
Flea Infestations,1563
Periostitis,1562
Parakeratosis,1561
Lymphangiectasis,1560
Biliary Dyskinesia,1558
Cystocele,1556
Anomia,1555
"Embolism, Amniotic Fluid",1555
HIV-Associated Lipodystrophy Syndrome,1551
Cardio-Renal Syndrome,1551
Peritonsillar Abscess,1549
Cavernous Sinus Thrombosis,1548
Spider Bites,1548
Herpes Labialis,1546
Maple Syrup Urine Disease,1545
"Leukemia, Prolymphocytic",1541
"Gonadal Dysgenesis, 46,XY",1541
Subphrenic Abscess,1540
Factor XI Deficiency,1537
Infectious Bovine Rhinotracheitis,1535
Tooth Attrition,1535
Glycogen Storage Disease Type I,1535
Sudden Unexpected Death in Epilepsy,1533
Odontoma,1532
Kidney Papillary Necrosis,1531
Cytochrome-c Oxidase Deficiency,1531
Follicular Cyst,1527
Chondromatosis,1527
Chondroblastoma,1526
"Myoclonic Epilepsy, Juvenile",1526
Asthenozoospermia,1525
Myoepithelioma,1523
Joint Loose Bodies,1518
"Angioedemas, Hereditary",1517
Epidermolysis Bullosa Dystrophica,1516
Burning Mouth Syndrome,1514
Lassa Fever,1513
"Pemphigoid, Benign Mucous Membrane",1513
"Sprue, Tropical",1506
Choanal Atresia,1499
Entropion,1498
Hemorrhagic Septicemia,1497
"Dysautonomia, Familial",1496
Post-Traumatic Headache,1493
Tendon Entrapment,1491
Fetomaternal Transfusion,1486
Paragonimiasis,1485
Glossitis,1480
De Lange Syndrome,1480
Klippel-Trenaunay-Weber Syndrome,1480
Branchioma,1474
Radial Neuropathy,1473
"Leukemia, Megakaryoblastic, Acute",1472
Bardet-Biedl Syndrome,1472
"Amnesia, Anterograde",1472
Staghorn Calculi,1472
"Anticipation, Genetic",1467
Implant Capsular Contracture,1465
Fecal Impaction,1464
Sleep Bruxism,1463
"Dermatitis, Phototoxic",1462
Hypertensive Retinopathy,1460
Capillary Leak Syndrome,1458
Postthrombotic Syndrome,1454
"Polyendocrinopathies, Autoimmune",1453
Preleukemia,1451
Dental Fissures,1450
Lesch-Nyhan Syndrome,1446
Ocular Hypotension,1445
"Diabetes Insipidus, Neurogenic",1443
Dandy-Walker Syndrome,1442
Hiccup,1442
Near Drowning,1441
Uveomeningoencephalitic Syndrome,1438
Mucopolysaccharidosis IV,1434
POEMS Syndrome,1433
Thyroid Crisis,1428
"Uveitis, Intermediate",1426
Meningeal Carcinomatosis,1423
Vulvar Lichen Sclerosus,1419
Obesity Hypoventilation Syndrome,1417
Cryptogenic Organizing Pneumonia,1414
Hypohidrosis,1412
Basal Ganglia Cerebrovascular Disease,1404
"Epilepsy, Partial, Motor",1403
Meibomian Gland Dysfunction,1401
Cafe-au-Lait Spots,1400
Mesenteric Cyst,1396
Cockayne Syndrome,1393
Machado-Joseph Disease,1391
Agraphia,1391
"Neurofibroma, Plexiform",1386
Slipped Capital Femoral Epiphyses,1386
Brachydactyly,1386
Ecthyma,1384
Osteoblastoma,1383
Erythema Infectiosum,1382
Failed Back Surgery Syndrome,1382
"Encephalitis, St. Louis",1380
Low Tension Glaucoma,1374
Dental Pulp Calcification,1373
"Ear Deformities, Acquired",1372
Alkaptonuria,1372
Neuroaxonal Dystrophies,1367
Persistent Fetal Circulation Syndrome,1364
"Cystic Adenomatoid Malformation of Lung, Congenital",1363
Miller Fisher Syndrome,1362
Corneal Wavefront Aberration,1362
Single Umbilical Artery,1362
Hypophosphatasia,1354
"Cardiomyopathy, Alcoholic",1352
Livedo Reticularis,1352
Scimitar Syndrome,1351
"Impotence, Vasculogenic",1351
"Xanthogranuloma, Juvenile",1349
Sulfatidosis,1347
Anterior Compartment Syndrome,1343
Hepatopulmonary Syndrome,1343
Subdural Effusion,1342
Sagittal Sinus Thrombosis,1342
Balanitis,1340
"Polycystic Kidney, Autosomal Recessive",1340
Tracheomalacia,1339
Sleep Paralysis,1339
"Hyperostosis, Diffuse Idiopathic Skeletal",1335
"Syphilis, Cardiovascular",1334
Myocardial Bridging,1333
Rheumatoid Nodule,1330
Hyperlipoproteinemia Type IV,1329
Symptom Flare Up,1322
Dysplastic Nevus Syndrome,1320
Porokeratosis,1319
"Syphilis, Latent",1316
Fluoride Poisoning,1314
"Malaria, Avian",1312
"Chondromatosis, Synovial",1306
"Empyema, Subdural",1304
Equine Infectious Anemia,1304
"Leukemia, Myeloid, Accelerated Phase",1301
Locked-In Syndrome,1301
Glomus Jugulare Tumor,1300
Spinal Osteochondrosis,1299
Sphenoid Sinusitis,1298
"Optic Atrophy, Hereditary, Leber",1296
Hemoglobin SC Disease,1293
Gliosarcoma,1291
Polymicrogyria,1291
Congenital Hyperinsulinism,1290
Myotonia Congenita,1288
Chancroid,1287
Retropharyngeal Abscess,1286
Pulmonary Veno-Occlusive Disease,1285
Oncogene Addiction,1280
Leber Congenital Amaurosis,1280
"Epilepsy, Rolandic",1278
Klatskin Tumor,1277
Amelogenesis Imperfecta,1276
Pneumopericardium,1275
Colonic Pseudo-Obstruction,1271
Chromoblastomycosis,1270
"Ichthyosis, Lamellar",1270
Hyperlipoproteinemia Type III,1270
"Gastroenteritis, Transmissible, of Swine",1269
Cerebrospinal Fluid Otorrhea,1268
Anophthalmos,1268
Pyomyositis,1267
Empty Sella Syndrome,1262
"Fibromatosis, Abdominal",1261
Chondrodysplasia Punctata,1259
Eisenmenger Complex,1257
Tooth Ankylosis,1256
Staphylococcal Food Poisoning,1254
Parapsoriasis,1253
Incontinentia Pigmenti,1252
Femoral Neuropathy,1250
"Nevus, Spindle Cell",1249
"Lead Poisoning, Nervous System",1249
"Mercury Poisoning, Nervous System",1249
Opioid-Induced Constipation,1249
Fournier Gangrene,1248
Clonorchiasis,1247
Tinea Versicolor,1245
Cowpox,1245
Salivary Duct Calculi,1241
"Empyema, Tuberculous",1237
Carney Complex,1235
Shwartzman Phenomenon,1234
Postural Orthostatic Tachycardia Syndrome,1232
Periodontal Abscess,1231
Cleidocranial Dysplasia,1231
"Chondrosarcoma, Mesenchymal",1229
Orbital Pseudotumor,1229
Dyskeratosis Congenita,1229
Erdheim-Chester Disease,1229
Furcation Defects,1228
"Dyslexia, Acquired",1228
Atypical Squamous Cells of the Cervix,1227
"Trypanosomiasis, Bovine",1226
"Lymphoma, Large-Cell, Immunoblastic",1226
Familial Hypophosphatemic Rickets,1226
Hyperamylasemia,1226
"Myelinolysis, Central Pontine",1225
Hypoprothrombinemias,1225
Rinderpest,1223
Epispadias,1223
Waardenburg Syndrome,1222
"Pregnancy, Heterotopic",1221
Earache,1220
Hereditary Breast and Ovarian Cancer Syndrome,1219
Buruli Ulcer,1218
"Gingivitis, Necrotizing Ulcerative",1217
Lambert-Eaton Myasthenic Syndrome,1217
Mucolipidoses,1217
Post-Dural Puncture Headache,1217
Hyperlactatemia,1217
Transfusion-Related Acute Lung Injury,1212
"Lupus Vasculitis, Central Nervous System",1211
Asthenopia,1211
"Colitis, Collagenous",1209
Hypokalemic Periodic Paralysis,1208
Klippel-Feil Syndrome,1206
Yaws,1205
"Osteolysis, Essential",1205
Optic Nerve Hypoplasia,1203
Neurogenic Bowel,1201
Marburg Virus Disease,1199
Adenomatoid Tumor,1197
"Leukodystrophy, Globoid Cell",1196
Supraglottitis,1195
"Intracranial Hemorrhage, Hypertensive",1195
Bone Anteversion,1193
Alcohol Amnestic Disorder,1192
Farmer's Lung,1189
